Tile,MagType,Error,MagErr_Box,MagErr_Fit
S82m12p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0392100698,24.9210598774
S82m12p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.1612347875
S82m12p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0492727048,24.9504991037
S82m12p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1873055087
S82m12p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,24.0633477301,-0.609437912434
S82m12p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m12p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.3795746406,25.5001742166
S82m12p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.5767968055
S82m30m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8736487107,24.7167143694
S82m30m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9007082552
S82m30m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8848076141,24.7497931684
S82m30m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9345294248
S82m30m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7325047528,-0.609437912434
S82m30m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m30m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.1496287538,25.2887800867
S82m30m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3722836281
S82p40p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7404638821,24.5439884165
S82p40p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7814523347
S82p40p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7523827965,24.5731145554
S82p40p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8077766993
S82p40p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5688280079,-0.609437912434
S82p40p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p40p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0288286275
S82p40p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0923443743
S82p23p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7196181149,24.5616475668
S82p23p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7924743283
S82p23p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7296242975,24.5869781834
S82p23p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8136045318
S82p23p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6651743328,-0.609437912434
S82p23p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p23p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.0512869401,25.091233209
S82p23p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1432715068
S82p32p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0260436318,24.8421957293
S82p32p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0878565187
S82p32p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0012535389,24.8721052847
S82p32p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.114063323
